Sample	star-total_reads	star-mapped	star-mapped_percent	star-uniquely_mapped	star-uniquely_mapped_percent	star-multimapped	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences	featurecounts-Assigned	featurecounts-percent_assigned
ERR458497	0.84604	0.81173	95.94999999999999	0.7256119999999999	85.77	0.086118	30.80037056067343	43.0	51.0	51	9.090909090909092	0.84604		
ERR458497_sorted													0.650961	71.19587804760675
ERR458498	0.851243	0.816824	95.96000000000001	0.729996	85.76	0.086828	30.827798706846337	43.0	51.0	51	9.090909090909092	0.851243		
ERR458498_sorted													0.654494	71.10757169490715
ERR458499	1.0932	1.048614	95.92	0.9365939999999999	85.67	0.11202	34.091879980217655	43.0	51.0	51	18.181818181818183	1.0932		
ERR458499_sorted													0.840244	71.05164800411303
ERR458500	1.88533	1.8310579999999999	97.12	1.687897	89.53	0.14316099999999998	32.6090797710999	42.0	51.0	51	18.181818181818183	1.88533		
ERR458500_sorted													1.481275	73.88023150494173
ERR458501	1.870525	1.8168989999999998	97.13	1.674097	89.5	0.14280199999999998	31.642712839317852	42.0	51.0	51	9.090909090909092	1.870525		
ERR458501_sorted													1.469044	73.79872189867524
ERR458502	1.8530309999999999	1.800308	97.16	1.6593749999999998	89.55	0.140933	32.19883040940503	42.0	51.0	51	18.181818181818183	1.8530309999999999		
ERR458502_sorted													1.456397	73.8382268243616
