"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"YDL243C",37.3087295864864,-0.0785923922906438,0.211879965649934,0.661822730276388,0.772581622443698
"YDR387C",84.8832782656817,0.312319157915928,0.160651500614247,0.0345645978156661,0.0846476788941401
"YDR438W",34.9286268537464,0.175215797227265,0.224519855828354,0.35371498223467,0.500562511072395
"YDR492W",94.8543631538201,-0.00178373363985296,0.146889656184159,0.988663306594072,0.993384196579645
"YDR018C",23.1055856422149,0.663982556551702,0.341626328627586,0.0116393086821443,0.0347635028860987
"YDL189W",134.568314793805,-0.0392379269875574,0.129342787933155,0.747834929037852,0.83703046169519
"YDR508C",277.996746811565,0.0224928446063992,0.0937880727049104,0.806134085281431,0.878907847862636
"YDR462W",52.4583179986297,-0.0547354966994449,0.186229620614903,0.73947053482094,0.830727576181799
"YDR175C",80.047268342733,0.0929890407407583,0.158387978999964,0.52439528239498,0.663498286305026
"YDR186C",181.601426820859,-0.225198990600534,0.113061636687616,0.0374462174956537,0.090091581318699
"YDR150W",196.651799881845,0.17004772223768,0.109728861463597,0.10710993345682,0.206555673578521
"YDR243C",28.5490047660106,-0.0025548966582362,0.232968565071125,0.987655299147789,0.993100926601278
"YDL182W",257.113279217958,-1.75624969516671,0.101892355096732,1.19101585260797e-67,5.34102272919525e-66
"YDR362C",41.1281540366791,0.195051094642303,0.213558523045696,0.286520483848158,0.432190120521994
"YDR232W",217.72034375291,-0.534156095693763,0.105446059578126,1.48406718532472e-07,1.22095211592655e-06
"YDR158W",716.574498682099,-0.148762511510332,0.0568357563174233,0.00815989657472816,0.0258349503242695
"YDR439W",28.4391528899606,-0.0397741981347737,0.230959904695618,0.832097177891687,0.895127852412503
"YDL206W",49.5710204466503,0.835657690362182,0.232374360590228,6.51829410840759e-05,0.000363893745582632
"YDR125C",14.2882449525808,0.452102111399148,0.383128455305585,0.0783398475626307,0.161491072349341
"YDR338C",46.8294279780324,0.56012114106879,0.227770839688825,0.00471885946538309,0.0162494201737018
"YDR533C",30.8939168976941,-0.117171199742668,0.229363273752161,0.533763532205056,0.670717133790074
"YDR272W",93.9318693109917,-0.0352288693343343,0.145310790074294,0.794486451969126,0.870371521570502
"YDR197W",29.9272283085566,0.132684697730726,0.233673259377239,0.491371531462454,0.633732590436371
"YDR512C",42.2485432369659,0.588523834349449,0.241063889156104,0.00453726301955959,0.0157388266326535
"YDR489W",40.1183000334636,0.336728718624219,0.23394250697019,0.086121877202492,0.174702554755222
"YDR299W",15.1888407349704,-0.464517690660185,0.361716806432685,0.0595124922971826,0.130393610475725
"YDL015C",200.954816287606,0.0511285448579046,0.111280891097254,0.633278663157791,0.74895537529967
"YDR304C",316.306188792814,-0.062801499987299,0.0857647324855194,0.436173818542506,0.582594472960462
"YDL181W",48.1084487077871,-0.0875420919548119,0.193132430611783,0.60470813921418,0.727111698822149
"YDR367W",53.4818585055834,0.0522860086273153,0.191185453500687,0.757896096688116,0.843631646995052
"YDR085C",103.067068748445,-0.762245522635265,0.150923272747453,8.94439885916917e-08,7.51686730545538e-07
"YDL097C",471.836262197142,-0.242962303787484,0.0717523122414886,0.000567243706046944,0.00253423248972273
"YDL139C",28.7971590575636,0.355638984639228,0.26642830563465,0.0943717377810405,0.187680035405334
"YDR200C",56.5986115740343,0.440471141701322,0.201038192921508,0.0133046358347755,0.0388004598358513
"YDR191W",18.3902450791821,1.30233145017596,0.42453915825845,0.000260856972053732,0.00127310302774841
"YDR451C",41.8622942389931,-0.71233967182933,0.234199434528635,0.000490988803922982,0.00223849978855219
"YDR469W",54.210512906892,-0.00398580962120971,0.183018506387433,0.979160301261434,0.988373802251164
"YDR470C",56.7241974923019,-0.00350836995003676,0.179356203818559,0.981311196410999,0.990176083597181
"YDR105C",90.7834890114013,-0.101360484016275,0.146977060576843,0.457645812193659,0.604923952285941
"YDR483W",378.39677932057,-0.0813736302630046,0.0795016062081681,0.299516850982683,0.445892977340479
"YDL123W",62.3762768703545,-0.125302721565576,0.173867136476785,0.423181123343528,0.570673878681894
"YDL199C",35.673644590889,0.34908624474788,0.240547287273009,0.0810415955298104,0.166121607022702
"YDR505C",104.337675632008,0.154783155179536,0.142283673424404,0.245455688611113,0.38677651854591
"YDL045W-A",51.4091124113669,0.087498285941815,0.188369338448463,0.601761685243219,0.724350709566059
"YDL045C",76.478530830002,0.00554673795105428,0.159431622639997,0.96436635100727,0.97994953684264
"YDR361C",51.7152947931986,-0.522207966111573,0.207027619747994,0.00407689002292709,0.0144125644578322
"YDR266C",70.449092413612,-0.377357136873532,0.174659311373968,0.0164959593325833,0.0463768723065588
"YDR002W",541.534210505222,-0.0527723578671151,0.0665683117717241,0.421326438659292,0.569509068554422
"YDR214W",169.865748310629,-0.675188189367044,0.118158272582428,2.90224824812284e-09,2.82530252054806e-08
"YDR130C",24.971851789214,0.268322647957326,0.266212578913356,0.200447969603243,0.333024853233934
"YDL176W",45.3022996792632,0.105514923847245,0.198747271936981,0.549045001545407,0.684554513093647
"YDR358W",137.192578818248,0.0436399150408702,0.125761351668332,0.715842812933515,0.812863434943806
"YDR460W",59.401612705582,0.346156466648527,0.194169316395767,0.0441498866459336,0.102522932869229
"snR84",13.2371690357635,0.339253994138966,0.365902374927865,0.154275456772269,0.273772631852443
"YDR034W-B",8.4128251072444,-0.0807717478872888,0.323626655244837,0.683513077942902,0.787762733912489
"YDL028C",49.0327578830524,0.207646311244568,0.201545852655508,0.237122548296038,0.376464730623222
"YDR061W",74.2714243219986,-0.145235402665938,0.162098426501288,0.326215154281669,0.471899288491542
"YDR060W",100.295979669718,-0.281570442585074,0.149314757919843,0.0414624697979147,0.0978398705821291
"YDR363W",41.7426007242691,0.233968305990877,0.214362541459624,0.20413851862706,0.337312544671895
"YDR422C",64.5418803047698,-0.208692393478502,0.177028230034835,0.188018955298183,0.317191398222744
"YDR119W",89.0616172719359,-0.378035589115946,0.154574362412279,0.00790108710764529,0.0251757993977446
"YDR097C",58.0097664217167,-0.0308735546364016,0.179392743518071,0.846404555320901,0.904252943206532
"YDL160C",119.276992875232,-0.824262064674815,0.141981136417451,1.14092752690804e-09,1.1453237614154e-08
"YDR425W",38.2281730413,0.18945699502762,0.220190933517341,0.310067357974708,0.457121669490603
"YDR228C",65.457024772462,0.0950743295351223,0.172346320226687,0.543796911466826,0.679870407366318
"YDR319C",58.2546366029506,0.465250593795128,0.206035966143964,0.0103563471734498,0.0315676111270555
"YDR471W",758.890579500613,-0.459801158294816,0.0553695901157855,4.85713829447751e-17,7.20146439270635e-16
"YDR089W",81.1417613075376,-2.08965110359993,0.342364711717413,6.29620244303505e-11,6.99661945572697e-10
"YDR275W",54.7821645446119,-0.145317064060999,0.185182717998435,0.375339214522313,0.521717693763103
"YDR043C",22.4186683430457,0.30000275792257,0.288315762297923,0.171452218379979,0.295344800616142
"YDR129C",613.060546413616,-0.310848310335271,0.062163611737521,4.03539548504478e-07,3.18121739174063e-06
"YDL066W",243.64620597529,-0.473860966315703,0.0980608486207222,6.05828610284721e-07,4.64214051382032e-06
"YDR302W",47.9795240350156,0.533622145243814,0.225303569377526,0.00648291434727403,0.0213534162516172
"YDR239C",34.1593395045226,-0.171507262552238,0.22265141610587,0.358668361949451,0.505574277835883
"YDR539W",65.6648331829138,-0.339163502154884,0.177265087283321,0.0328470717757719,0.0810949141178918
"YDL125C",352.035309386759,0.0165615194037113,0.0838640713164862,0.848430485562053,0.905516556910987
"YDR493W",23.9220091545856,-0.277754837892693,0.270500330282785,0.181734156753026,0.308587079949039
"YDR101C",33.7366462774672,-0.195892774754487,0.226262865749544,0.296507336713762,0.442979693927087
"YDR212W",261.480357472725,-0.355994024792856,0.095691007736477,0.000122478956424844,0.000646797655019616
"YDR476C",272.982573087436,-0.0405118583237933,0.0943145458682052,0.658172888577632,0.769579797693573
"YDL131W",169.781107012263,-0.352468262512301,0.116684797570598,0.0015412499796394,0.00621842082493155
"YDR458C",62.9457421224635,0.666646598268963,0.201491135912106,0.000260274506333628,0.00127139448584935
"YDR081C",65.8692935014559,0.296627649930222,0.182795486429714,0.0699599071178881,0.147972419751836
"YDR113C",48.5486025615369,0.354190311622803,0.209624614217156,0.0519820048251972,0.116986239571639
"YDR168W",114.490331453191,0.220287385826652,0.139492494366756,0.0922495075215225,0.184600239813552
"YDR520C",27.857324890304,0.101611226887599,0.23795018300765,0.600955588959149,0.723712970987344
"YDR307W",58.6402816029007,0.0394987885561936,0.180931988228301,0.808905325624521,0.880175226032569
"YDR265W",44.7403660656696,0.0711006534509113,0.20152822414824,0.685725106040437,0.788980453238114
"YDL076C",79.2562902501308,0.227739124348651,0.161980579708184,0.125571495760358,0.232912701243325
"YDL006W",53.3502102987067,0.112436769205332,0.186822805199767,0.499391955194462,0.640753608552744
"YDL086W",85.2252188801072,-0.141380192687778,0.160698953828451,0.335618844480311,0.482314341516098
"YDR238C",376.137333210832,-0.401904337534443,0.0803016409386229,3.09673518399969e-07,2.47693540813776e-06
"YDR077W",3871.60896963777,-3.77268305518949,0.0338508557563968,0,0
"YDR381C-A",41.4397790718271,0.664445321066742,0.250206429588631,0.00206496012434727,0.00806956917164565
"YDL083C",986.591832547912,-0.568735690893065,0.0481332216330132,1.20296585149351e-32,2.80060688234935e-31
"YDR036C",72.268987382205,-0.247568784187286,0.172692125236271,0.11082758665759,0.212154557943903
"YDR057W",74.7091248860726,0.226986042289676,0.166274709389234,0.135047553127627,0.247105405739547
"YDR513W",163.737030890986,-0.0530293936922132,0.117002632211497,0.635350627460839,0.750775313025941
