"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043436","GO:0043436","oxoacid metabolic process","57/354","385/6476",0.148051948051948,2.70843055249835,8.31109505153468,1.47566267169223e-12,1.0858041637128e-09,9.51975080367811e-10,"YDL182W/YDR191W/YDR089W/YDR111C/YDR019C/YOR108W/YOR202W/YOR126C/YOR100C/YGR208W/YGR087C/YGL184C/YGR192C/YGR061C/YLR180W/YLR058C/YLR438W/YLR355C/YPL061W/YPL019C/YPR145W/YPL095C/YMR300C/YML123C/YMR272C/YMR189W/YMR250W/YMR042W/YBR218C/YBR248C/YBR196C/YNL217W/YNR050C/YJR010W/YJL052W/YJL012C/YJL200C/YJR078W/YJR148W/YKL182W/YKL029C/YER081W/YER072W/YEL071W/YER073W/YER055C/YHR174W/YHR183W/YIR034C/YIL094C/YCR005C/YCL030C/YCL064C/YFR055W/YFR053C/YAL038W/YAL044C",57
"GO:0006082","GO:0006082","organic acid metabolic process","57/354","387/6476",0.147286821705426,2.69443349537949,8.26574262285557,1.84190697830839e-12,1.0858041637128e-09,9.51975080367811e-10,"YDL182W/YDR191W/YDR089W/YDR111C/YDR019C/YOR108W/YOR202W/YOR126C/YOR100C/YGR208W/YGR087C/YGL184C/YGR192C/YGR061C/YLR180W/YLR058C/YLR438W/YLR355C/YPL061W/YPL019C/YPR145W/YPL095C/YMR300C/YML123C/YMR272C/YMR189W/YMR250W/YMR042W/YBR218C/YBR248C/YBR196C/YNL217W/YNR050C/YJR010W/YJL052W/YJL012C/YJL200C/YJR078W/YJR148W/YKL182W/YKL029C/YER081W/YER072W/YEL071W/YER073W/YER055C/YHR174W/YHR183W/YIR034C/YIL094C/YCR005C/YCL030C/YCL064C/YFR055W/YFR053C/YAL038W/YAL044C",57
"GO:0046040","GO:0046040","IMP metabolic process","10/354","13/6476",0.769230769230769,14.0721425467188,11.3442614731673,5.20082456843303e-11,2.04392405539418e-08,1.79200341270219e-08,"YDR399W/YOR128C/YGR061C/YGL234W/YLR359W/YMR120C/YMR300C/YML035C/YNL220W/YAR015W",10
"GO:0009127","GO:0009127","purine nucleoside monophosphate biosynthetic process","12/354","22/6476",0.545454545454545,9.97842835130971,10.1431310333583,2.33508279997933e-10,5.50612524235125e-08,4.82747644122042e-08,"YDR399W/YOR128C/YGR061C/YGL234W/YLR359W/YMR120C/YMR300C/YML035C/YNL141W/YNL220W/YHR216W/YAR015W",12
"GO:0009168","GO:0009168","purine ribonucleoside monophosphate biosynthetic process","12/354","22/6476",0.545454545454545,9.97842835130971,10.1431310333583,2.33508279997933e-10,5.50612524235125e-08,4.82747644122042e-08,"YDR399W/YOR128C/YGR061C/YGL234W/YLR359W/YMR120C/YMR300C/YML035C/YNL141W/YNL220W/YHR216W/YAR015W",12
"GO:0019752","GO:0019752","carboxylic acid metabolic process","51/354","367/6476",0.138964577656676,2.54218814944811,7.31408807772482,2.81478126233427e-10,5.53104518048684e-08,4.84932491160045e-08,"YDL182W/YDR191W/YDR111C/YDR019C/YOR108W/YOR202W/YOR126C/YOR100C/YGR208W/YGR087C/YGL184C/YGR192C/YGR061C/YLR180W/YLR058C/YLR438W/YLR355C/YPL061W/YPR145W/YPL095C/YMR300C/YMR272C/YMR189W/YMR250W/YMR042W/YBR218C/YBR248C/YBR196C/YNR050C/YJR010W/YJL052W/YJL200C/YJR078W/YJR148W/YKL182W/YKL029C/YER081W/YEL071W/YER073W/YER055C/YHR174W/YHR183W/YIR034C/YIL094C/YCR005C/YCL030C/YCL064C/YFR055W/YFR053C/YAL038W/YAL044C",51
"GO:0006188","GO:0006188","IMP biosynthetic process","9/354","12/6476",0.75,13.7203389830508,10.6050687634964,7.50757878257619e-10,1.26449076923676e-07,1.10863794954734e-07,"YDR399W/YOR128C/YGR061C/YGL234W/YLR359W/YMR120C/YMR300C/YML035C/YAR015W",9
"GO:0170039","GO:0170039","proteinogenic amino acid metabolic process","31/354","166/6476",0.186746987951807,3.41630930501668,7.58344856491331,9.66829273892091e-10,1.42486464239847e-07,1.2492451933711e-07,"YDL182W/YDR111C/YDR019C/YOR108W/YOR202W/YGR208W/YGR087C/YGL184C/YGR061C/YLR180W/YLR058C/YLR438W/YLR355C/YPR145W/YMR300C/YMR189W/YMR250W/YMR042W/YBR248C/YNR050C/YJL200C/YJR078W/YJR148W/YER081W/YER055C/YIR034C/YIL094C/YCL030C/YCL064C/YFR055W/YAL044C",31
"GO:0170033","GO:0170033","L-amino acid metabolic process","31/354","168/6476",0.18452380952381,3.37563895614743,7.50177599039333,1.31632324902023e-09,1.7243834562165e-07,1.51184728717879e-07,"YDL182W/YDR111C/YDR019C/YOR108W/YOR202W/YGR208W/YGR087C/YGL184C/YGR061C/YLR180W/YLR058C/YLR438W/YLR355C/YPR145W/YMR300C/YMR189W/YMR250W/YMR042W/YBR248C/YNR050C/YJL200C/YJR078W/YJR148W/YER081W/YER055C/YIR034C/YIL094C/YCL030C/YCL064C/YFR055W/YAL044C",31
"GO:0009126","GO:0009126","purine nucleoside monophosphate metabolic process","12/354","25/6476",0.48,8.78101694915254,9.37276437894307,1.61642110199752e-09,1.73250952659552e-07,1.51897179154217e-07,"YDR399W/YOR128C/YGR061C/YGL234W/YLR359W/YMR120C/YMR300C/YML035C/YNL141W/YNL220W/YHR216W/YAR015W",12
