"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0019693","GO:0019693","ribose phosphate metabolic process",94,-0.70157516764193,-2.46650964484268,1e-10,9.13333333333333e-09,7.15789473684211e-09,912,"tags=57%, list=17%, signal=49%","YOR347C/YJR103W/YLR028C/YOL056W/YPR062W/YBL068W/YCR012W/YER005W/YDL185W/YMR217W/YDR050C/YBR127C/YJL005W/YGR254W/YKL181W/YMR205C/YJR133W/YKL060C/YKR043C/YKL152C/YML022W/YLR432W/YKL216W/YLR420W/YML106W/YML056C/YBL039C/YOL061W/YCL040W/YOL136C/YLR446W/YDR408C/YJR109C/YDR516C/YOR344C/YHL011C/YBR196C/YML035C/YHR128W/YGR192C/YNL220W/YHR216W/YJL052W/YGR061C/YHR174W/YLR359W/YAL038W/YGL234W/YDR399W/YFR053C/YAR015W/YMR300C/YOR128C/YMR120C"
"GO:0002181","GO:0002181","cytoplasmic translation",163,-0.647924155172244,-2.42502905135594,1e-10,9.13333333333333e-09,7.15789473684211e-09,1446,"tags=70%, list=26%, signal=53%","YMR260C/YLR075W/YMR309C/YDL061C/YKR094C/YOL040C/YEL054C/YHL001W/YIL148W/YML024W/YPR102C/YNL069C/YDL075W/YCR077C/YOL139C/YDR447C/YPR163C/YGL135W/YPL220W/YOR260W/YOR096W/YBR084C-A/YOL127W/YKR059W/YGL076C/YDL130W/YIL133C/YBR143C/YMR146C/YPL249C-A/YLR344W/YDR328C/YGR034W/YGR085C/YMR242C/YOL120C/YDR152W/YDR429C/YKL180W/YER117W/YER056C-A/YLR388W/YHR141C/YOR182C/YML063W/YMR230W/YBL092W/YER074W/YIL052C/YBL027W/YJL191W/YKL006W/YDR500C/YBR079C/YNL162W/YDR471W/YJR094W-A/YCR031C/YAL035W/YJL138C/YNL301C/YNL178W/YDR012W/YNL096C/YLR029C/YML026C/YHR010W/YDL191W/YBR191W/YLL045C/YLR048W/YGL103W/YNL209W/YDR382W/YDR450W/YML073C/YIL069C/YFL023W/YHR064C/YOR293W/YNL255C/YHR203C/YIL018W/YFR031C-A/YER131W/YGL030W/YDL136W/YLR340W/YJL177W/YGR214W/YPR041W/YPL131W/YGR162W/YAL036C/YPL079W/YPL198W/YBR031W/YER025W/YNL067W/YJL190C/YOR091W/YBL087C/YHL033C/YLR448W/YJR145C/YGL147C/YGR173W/YBR261C/YKL056C/YLR136C/YOR204W/YDL229W/YAL005C/YLR264W"
"GO:0009259","GO:0009259","ribonucleotide metabolic process",87,-0.701910653848558,-2.42473135844907,1e-10,9.13333333333333e-09,7.15789473684211e-09,912,"tags=56%, list=17%, signal=48%","YOR347C/YJR103W/YLR028C/YOL056W/YPR062W/YCR012W/YER005W/YDL185W/YMR217W/YDR050C/YBR127C/YJL005W/YGR254W/YMR205C/YJR133W/YKL060C/YKL152C/YML022W/YLR432W/YKL216W/YLR420W/YML106W/YML056C/YBL039C/YCL040W/YOL136C/YLR446W/YDR408C/YJR109C/YDR516C/YOR344C/YBR196C/YML035C/YHR128W/YGR192C/YNL220W/YHR216W/YJL052W/YGR061C/YHR174W/YLR359W/YAL038W/YGL234W/YDR399W/YFR053C/YAR015W/YMR300C/YOR128C/YMR120C"
"GO:0000462","GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",100,-0.68490445373727,-2.42454792492691,1e-10,9.13333333333333e-09,7.15789473684211e-09,1108,"tags=68%, list=20%, signal=55%","YJL136C/YPR144C/YLR186W/YOR056C/YBL072C/YGR128C/YPR112C/YDL153C/YHR169W/YER102W/YJL109C/YHR021C/YGR118W/YEL026W/YPR137W/YML063W/YGR081C/YER074W/YGR103W/YDR457W/YPR132W/YJL191W/YOR004W/YLR129W/YDR398W/YJL010C/YDR299W/YBR181C/YCR031C/YAL035W/YNR054C/YML026C/YLR048W/YPL012W/YMR229C/YDR450W/YIL069C/YLL011W/YPL217C/YPL090C/YOR310C/YDL083C/YGL171W/YLR435W/YBR189W/YLR222C/YDR064W/YGR145W/YGL120C/YPL126W/YGR214W/YJR002W/YDR025W/YMR128W/YHR065C/YMR093W/YML093W/YER082C/YKR057W/YKL078W/YCR057C/YBR048W/YIL091C/YIL019W/YDL060W/YBR247C/YJL069C/YER127W"
"GO:0042274","GO:0042274","ribosomal small subunit biogenesis",138,-0.650201830898421,-2.38557897721449,1e-10,9.13333333333333e-09,7.15789473684211e-09,1108,"tags=60%, list=20%, signal=49%","YJL136C/YPR144C/YLR186W/YOR056C/YBL072C/YGR128C/YPR112C/YDL153C/YHR169W/YER102W/YJL109C/YHR021C/YGR118W/YEL026W/YPR137W/YML063W/YGR081C/YHR148W/YER074W/YGR103W/YDR457W/YPR132W/YJL191W/YOR004W/YLR129W/YDR398W/YJL010C/YDR299W/YBR181C/YCR031C/YKL143W/YAL035W/YNL096C/YNR054C/YML026C/YLR048W/YOR369C/YLR167W/YPL012W/YMR229C/YDR450W/YIL069C/YNR037C/YLL011W/YPL217C/YPL090C/YOR310C/YJR123W/YDL083C/YGL171W/YLR435W/YBR189W/YLR222C/YDR064W/YGR145W/YGL120C/YPL126W/YKR048C/YGR214W/YJR002W/YDR025W/YMR128W/YNL132W/YHR065C/YMR093W/YML093W/YER082C/YPL226W/YKR057W/YOL121C/YKL078W/YCR057C/YNL302C/YBR048W/YIL091C/YNR046W/YIL019W/YDL060W/YBR247C/YJL069C/YGR159C/YER127W/YLR264W"
"GO:0030490","GO:0030490","maturation of SSU-rRNA",114,-0.662695304852417,-2.38408131266546,1e-10,9.13333333333333e-09,7.15789473684211e-09,1108,"tags=65%, list=20%, signal=53%","YJL136C/YPR144C/YLR186W/YOR056C/YBL072C/YGR128C/YPR112C/YDL153C/YHR169W/YER102W/YJL109C/YHR021C/YGR118W/YEL026W/YPR137W/YML063W/YGR081C/YER074W/YGR103W/YDR457W/YPR132W/YJL191W/YOR004W/YLR129W/YDR398W/YJL010C/YDR299W/YBR181C/YCR031C/YAL035W/YNR054C/YML026C/YLR048W/YOR369C/YLR167W/YPL012W/YMR229C/YDR450W/YIL069C/YLL011W/YPL217C/YPL090C/YOR310C/YJR123W/YDL083C/YGL171W/YLR435W/YBR189W/YLR222C/YDR064W/YGR145W/YGL120C/YPL126W/YGR214W/YJR002W/YDR025W/YMR128W/YNL132W/YHR065C/YMR093W/YML093W/YER082C/YKR057W/YKL078W/YCR057C/YBR048W/YIL091C/YNR046W/YIL019W/YDL060W/YBR247C/YJL069C/YER127W/YLR264W"
"GO:0009117","GO:0009117","nucleotide metabolic process",174,-0.61758552774752,-2.32570131804893,1e-10,9.13333333333333e-09,7.15789473684211e-09,933,"tags=45%, list=17%, signal=39%","YJL121C/YOR347C/YJR103W/YLR028C/YOL056W/YPR062W/YOR095C/YBL068W/YCR012W/YER005W/YDL185W/YMR217W/YDR050C/YBR127C/YDL066W/YGL224C/YJR069C/YOR209C/YJL005W/YGR254W/YKL181W/YMR205C/YBR252W/YCR073W-A/YGL037C/YJR133W/YKL060C/YPR074C/YJL026W/YMR145C/YKL152C/YML022W/YLR432W/YMR083W/YKL216W/YLR420W/YML106W/YGR180C/YML056C/YBL039C/YOL061W/YCL040W/YOL086C/YGR204W/YOL136C/YLR446W/YDR408C/YJR109C/YDR516C/YER070W/YOR344C/YHL011C/YBR196C/YML035C/YHR183W/YBR145W/YDR481C/YHR128W/YHR163W/YNL141W/YGR192C/YNL220W/YHR216W/YJL052W/YGR061C/YPL061W/YHR174W/YLR359W/YAL038W/YDL022W/YGL234W/YDR399W/YFR053C/YER037W/YAR015W/YMR300C/YOR128C/YKR080W/YMR120C"
"GO:0042254","GO:0042254","ribosome biogenesis",413,-0.543659837033482,-2.23892407580826,1e-10,9.13333333333333e-09,7.15789473684211e-09,1325,"tags=54%, list=24%, signal=44%","YGR090W/YPR102C/YPL043W/YPR187W/YJR066W/YOR294W/YNL069C/YPL266W/YOL080C/YDR324C/YLR106C/YGR285C/YPL082C/YDR280W/YDR060W/YNL163C/YDR447C/YOL021C/YIL110W/YGL135W/YPL220W/YOR096W/YHR088W/YOL127W/YDR087C/YNL110C/YGL076C/YIL133C/YOR185C/YGL111W/YJL136C/YER006W/YPR144C/YJL061W/YLR344W/YLL008W/YLR186W/YIR026C/YLR197W/YGR034W/YGR085C/snR9/YOR056C/YLR293C/YPR016C/YDR432W/YBL072C/YGR128C/YER036C/YGR063C/YPR110C/YPR112C/YDL153C/YHR169W/YKL180W/YJR063W/YDR083W/YER056C-A/YER102W/YJL109C/YHR021C/YGR118W/YIL070C/YEL026W/YPR137W/YML063W/YGR081C/YJR041C/YLL035W/YMR230W/YLR074C/YHR148W/YGR280C/YER074W/YLL034C/YOR098C/YGR103W/YLR276C/YDR457W/YIL052C/YPR132W/YER125W/YJL191W/YOR004W/YEL055C/YLR129W/YCL054W/YKL006W/YDR398W/YDR500C/YJL010C/YIR012W/YPL211W/YDR299W/YBR181C/YCR031C/YKL143W/YAL035W/YDR161W/YGL173C/YNL178W/YOR201C/YKL172W/YDR091C/YNL096C/YNR054C/YMR049C/YML026C/YOR272W/YDL191W/YLL045C/YLR048W/YBR142W/YOR369C/YDR361C/YOR243C/YGL099W/YCR018C/YLR167W/YJL122W/YPL012W/YMR229C/YNL209W/YDR450W/YHR089C/YML073C/YIL069C/YNR037C/YLL011W/YFL023W/YPL217C/YPL090C/YDL208W/YOR310C/YJR123W/YDL083C/YGL171W/YLR435W/YBR189W/YGR158C/YOL077C/YHR064C/YKL009W/YLR222C/YOR293W/YOR063W/YDR064W/YGR145W/YGL078C/YGL120C/YPL126W/YHR069C/YFR031C-A/YER131W/YGL030W/YDL063C/YDL136W/YLR340W/YLR409C/YJL177W/YLR196W/YER126C/YKR048C/YGR214W/YPR041W/YOR340C/YDR365C/YPL131W/YJR002W/YDR025W/YMR128W/YGR162W/YJL148W/YOR341W/YHR197W/YLR175W/YGL123W/YHR062C/YLR397C/YPL198W/YNL132W/YHR065C/YKR024C/YHL033C/YHR066W/YGR245C/YMR093W/YML093W/YER082C/YLR448W/YPL226W/YDL014W/YKR057W/YOL121C/YKL078W/YML010W/YCR057C/YHR085W/YJL050W/YNL302C/YMR131C/YBR048W/YIL091C/YNR046W/YIL019W/YAL025C/YPR010C/YDL060W/YNL112W/YNL182C/YNL248C/YBR247C/YJL069C/YGR159C/YBR267W/YPL093W/YNL221C/YCR072C/YHR087W/YNR053C/YER127W/YDL229W/YLR264W"
"GO:0006753","GO:0006753","nucleoside phosphate metabolic process",226,-0.571062899509179,-2.23081785131463,1e-10,9.13333333333333e-09,7.15789473684211e-09,934,"tags=40%, list=17%, signal=34%","YEL016C/YJL121C/YOR347C/YMR220W/YJR103W/YLR028C/YOL056W/YPR062W/YOR095C/YBL068W/YCR012W/YER005W/YDL185W/YMR217W/YKL088W/YNR016C/YDR050C/YBR127C/YDL066W/YGL224C/YJR069C/YOR209C/YJL005W/YGR254W/YKL181W/YML126C/YMR205C/YBR252W/YNR043W/YCR073W-A/YGL037C/YJR133W/YKL060C/YPR074C/YJL026W/YML075C/YMR145C/YKL035W/YKL152C/YML022W/YDL055C/YLR432W/YMR083W/YKL216W/YLR420W/YML106W/YGR180C/YML056C/YBL039C/YOL061W/YCL040W/YOL086C/YKR072C/YGR204W/YOL136C/YLR446W/YDR408C/YJR109C/YDR516C/YER070W/YOR344C/YHL011C/YBR196C/YML035C/YHR183W/YBR145W/YDR481C/YHR128W/YHR163W/YNL141W/YGR192C/YNL220W/YHR216W/YJL052W/YGR061C/YPL061W/YHR174W/YLR359W/YMR105C/YAL038W/YDL022W/YGL234W/YDR399W/YFR053C/YER037W/YAR015W/YMR300C/YOR128C/YKR080W/YMR120C"
"GO:0006520","GO:0006520","amino acid metabolic process",235,-0.550602152067058,-2.156513902081,1e-10,9.13333333333333e-09,7.15789473684211e-09,943,"tags=43%, list=17%, signal=37%","YJL060W/YPL111W/YER090W/YDR321W/YAL012W/YJR103W/YPL160W/YGL202W/YCR053W/YBR121C/YOL058W/YER086W/YEL009C/YMR217W/YDL171C/YHR137W/YMR108W/YDL066W/YNL037C/YOR168W/YMR043W/YDL168W/YHR020W/YLR017W/YBR249C/YER069W/YBR263W/YIL051C/YGL125W/YIL078W/YDR035W/YDR234W/YFL022C/YDR127W/YNR033W/YBL076C/YHR019C/YIL020C/YER043C/YLL018C/YHR208W/YGL148W/YOR303W/YMR116C/YLR060W/YDR037W/YGR124W/YGR264C/YMR083W/YNL040W/YMR096W/YOL097C/YCL009C/YBL039C/YKL218C/YGL196W/YOR184W/YHR033W/YJR016C/YOL086C/YGR204W/YHR018C/YPR035W/YGR155W/YJR109C/YEL046C/YBR115C/YLR089C/YHR025W/YER052C/YLR044C/YDR502C/YMR250W/YBR145W/YCL064C/YLR355C/YBR248C/YOR108W/YJL200C/YOR202W/YGL184C/YIL094C/YGR208W/YLR180W/YER055C/YIR034C/YNR050C/YGR061C/YKL029C/YDL182W/YPR145W/YJR148W/YAL044C/YFR055W/YMR189W/YMR300C/YLR438W/YCL030C/YDR019C/YLR058C"
